image_id,Child,Smile,Emotions,Female,Male,PeopleNumber
121824333_1780170455456980_1945710384918790628_n.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
121968037_675216890074396_7745071755117364219_n.jpg,FALSE,FALSE,[],FALSE,FALSE,0
121969359_1514124702115403_7612990989954934559_n.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,2
121972372_384988435991392_6290850303008840320_n.jpg,TRUE,TRUE,[],FALSE,TRUE,1
122026324_625512811474271_6945540037480226640_n.jpg,FALSE,FALSE,[],FALSE,FALSE,0
122044340_471148523818151_3074582108226996632_n.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
122044760_178946800402106_8604711366301652788_n.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
122058808_672982296979185_7654741695571408912_n.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
122072259_123359139319109_6287889894631903949_n.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
122080481_655182648462259_9018353764250614479_n.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
122083011_3837163772984190_4494576759244229022_n.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
122142920_2800224163596965_5430927296730905029_n.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,2
122147852_186737109623965_5475099666055123242_n.jpg,FALSE,FALSE,[],FALSE,FALSE,0
122154581_199183728287761_5043692689019845602_n.jpg,FALSE,FALSE,[],FALSE,FALSE,0
122172803_706270193314832_5260211359589627433_n.jpg,FALSE,TRUE,[],TRUE,FALSE,1
122189571_352065119550440_3372951027806184325_n.jpg,FALSE,TRUE,[],TRUE,FALSE,1
122206176_178888567112246_6359471273478895236_n.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
122230199_794533231116502_3405044689346671086_n.jpg,FALSE,FALSE,[],FALSE,FALSE,0
122299458_719102438692634_7923763096634841734_n.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,1
122304168_344864089910544_4724310979507549618_n.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
122307155_2519419658349598_2521024509286012642_n.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
122410166_2911323189154255_3253679167624258645_n.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
122428519_380431642998849_6428864620444902412_n.jpg,FALSE,TRUE,"['DISGUSTED', 'CALM']",TRUE,TRUE,2
122434401_174490420967880_3607288921356168020_n.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
122472492_367855501224494_3713921985480974845_n.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
122490013_211319450421384_2092484615927256518_n.jpg,FALSE,TRUE,"['SAD', 'CALM']",TRUE,TRUE,2
122580496_3490516671008081_251009052776887224_n.jpg,FALSE,FALSE,[],FALSE,FALSE,0
